source_page,href,link_type,target,status
pricing.html,#main,external/special,#main,ok
pricing.html,/services/real-estate/visual-inspections/,internal,services/real-estate/visual-inspections/index.html,ok
pricing.html,/services/real-estate/visual-inspections/#book,internal,services/real-estate/visual-inspections/index.html,ok
pricing.html,tel:8589006163,external/special,tel:8589006163,ok
pricing.html,sms:+18589006163,external/special,sms:+18589006163,ok
pricing.html,/services/real-estate/roof-estimates/,internal,services/real-estate/roof-estimates/index.html,ok
pricing.html,/services/real-estate/roof-estimates/#book,internal,services/real-estate/roof-estimates/index.html,ok
pricing.html,tel:8589006163,external/special,tel:8589006163,ok
pricing.html,sms:+18589006163,external/special,sms:+18589006163,ok
pricing.html,/services/real-estate/roof-certifications/,internal,services/real-estate/roof-certifications/index.html,ok
pricing.html,/services/real-estate/roof-certifications/#book,internal,services/real-estate/roof-certifications/index.html,ok
pricing.html,tel:8589006163,external/special,tel:8589006163,ok
pricing.html,/services/roof-inspection/certified-roof-reports/,internal,services/roof-inspection/certified-roof-reports/index.html → /services/roof-inspection/,REWRITE_SUGGESTED
pricing.html,/services/roof-inspection/certified-roof-reports/#book,internal,services/roof-inspection/certified-roof-reports/index.html → /services/roof-inspection/,REWRITE_SUGGESTED
pricing.html,tel:8589006163,external/special,tel:8589006163,ok
pricing.html,/services/real-estate/verbal-opinions/,internal,services/real-estate/verbal-opinions/index.html,ok
pricing.html,tel:8589006163,external/special,tel:8589006163,ok
pricing.html,sms:+18589006163,external/special,sms:+18589006163,ok
pricing.html,/services/insurance/storm-damage-inspection/,internal,services/insurance/storm-damage-inspection/index.html → /services/,REWRITE_SUGGESTED
pricing.html,/services/insurance/storm-damage-inspection/#inspection,internal,services/insurance/storm-damage-inspection/index.html → /services/,REWRITE_SUGGESTED
pricing.html,tel:8589006163,external/special,tel:8589006163,ok
pricing.html,/services/residential/asphalt-shingles/,internal,services/residential/asphalt-shingles/index.html,ok
pricing.html,/services/residential/asphalt-shingles/#estimate,internal,services/residential/asphalt-shingles/index.html,ok
pricing.html,tel:8589006163,external/special,tel:8589006163,ok
pricing.html,/services/residential/tile-roof/,internal,services/residential/tile-roof/index.html,ok
pricing.html,/services/residential/tile-roof/#estimate,internal,services/residential/tile-roof/index.html,ok
pricing.html,tel:8589006163,external/special,tel:8589006163,ok
pricing.html,/services/roof-repairs/roof-tune-up/,internal,services/roof-repairs/roof-tune-up/index.html,ok
pricing.html,/services/roof-repairs/roof-tune-up/#estimate,internal,services/roof-repairs/roof-tune-up/index.html,ok
pricing.html,tel:8589006163,external/special,tel:8589006163,ok
pricing.html,/services/roof-repairs/tile-roof-repair/,internal,services/roof-repairs/tile-roof-repair/index.html,ok
pricing.html,/services/roof-repairs/tile-roof-repair/#estimate,internal,services/roof-repairs/tile-roof-repair/index.html,ok
pricing.html,tel:8589006163,external/special,tel:8589006163,ok
pricing.html,/services/residential/tpo/,internal,services/residential/tpo/index.html,ok
